T, P, Rho, Mu, Cp, K, h, s
494.7368421052632, 5.7631578947368425, 841.1846245698127, 0.00012173718584015662, 4594.736872352049, 0.6470844689327793, 17148451.532790486, 45510.37233777396
494.7368421052632, 5.842105263157895, 841.2537773770268, 0.0001217576910668269, 4594.130135577759, 0.6471571885521947, 17148845.349115755, 45507.75095835764
494.7368421052632, 5.921052631578947, 841.3228858590494, 0.00012177818764127277, 4593.524241028036, 0.6472298855933266, 17149239.81027742, 45505.131163149126
494.7368421052632, 6.0, 841.391950090667, 0.00012179867557904204, 4592.919186662895, 0.6473025600897003, 17149634.915142667, 45502.512949632626
505.2631578947369, 4.5, 825.8313445784931, 0.0001155054489043335, 4684.283114960321, 0.6362757482315795, 18022763.577338476, 47313.59292257657
505.2631578947369, 4.578947368421052, 825.9080155500604, 0.00011552669200963474, 4683.536601399505, 0.6363534822083144, 18023017.850800138, 47310.68778463853
505.2631578947369, 4.657894736842105, 825.984629850585, 0.00011554792444796093, 4682.791286451191, 0.6364311877943325, 18023272.982281774, 47307.78466114197
505.2631578947369, 4.7368421052631575, 826.0611875873435, 0.0001155691462402994, 4682.047166768164, 0.6365088650362126, 18023528.970090207, 47304.88354844353
505.2631578947369, 4.815789473684211, 826.137688867314, 0.00011559035740758113, 4681.304239016475, 0.6365865139804335, 18023785.81253729, 47301.9844429104
505.2631578947369, 4.894736842105263, 826.2141337971811, 0.0001156115579706816, 4680.562499875356, 0.6366641346733645, 18024043.507939875, 47299.08734092027
505.2631578947369, 4.973684210526316, 826.2905224833328, 0.00011563274795042106, 4679.821946037157, 0.6367417271612755, 18024302.054619804, 47296.19223886128
505.2631578947369, 5.052631578947368, 826.3668550318646, 0.00011565392736756382, 4679.082574207283, 0.6368192914903308, 18024561.450903893, 47293.29913313199
505.2631578947369, 5.131578947368421, 826.4431315485782, 0.00011567509624281938, 4678.344381104106, 0.6368968277065911, 18024821.69512388, 47290.408020141316
505.2631578947369, 5.2105263157894735, 826.5193521389849, 0.00011569625459684258, 4677.60736345892, 0.6369743358560143, 18025082.785616472, 47287.51889630852
505.2631578947369, 5.2894736842105265, 826.5955169083039, 0.00011571740245023287, 4676.871518015866, 0.6370518159844536, 18025344.720723253, 47284.631758063144
505.2631578947369, 5.368421052631579, 826.671625961466, 0.00011573853982353559, 4676.136841531855, 0.6371292681376639, 18025607.4987907, 47281.74660184499
505.2631578947369, 5.447368421052632, 826.7476794031129, 0.00011575966673724178, 4675.403330776522, 0.6372066923612891, 18025871.11817016, 47278.86342410407
505.2631578947369, 5.526315789473684, 826.8236773375984, 0.00011578078321178771, 4674.670982532143, 0.637284088700879, 18026135.577217847, 47275.98222130058
505.2631578947369, 5.605263157894736, 826.8996198689906, 0.00011580188926755588, 4673.939793593575, 0.6373614572018763, 18026400.8742948, 47273.10298990487
505.2631578947369, 5.684210526315789, 826.9755071010712, 0.00011582298492487563, 4673.209760768194, 0.6374387979096232, 18026667.00776685, 47270.22572639731
